ts,open,high,low,close,volume,amount
2026-02-06T09:30:00+08:00,10.00,10.02,9.98,10.01,1000,10010
2026-02-06T09:31:00+08:00,10.01,10.03,10.00,10.02,1100,11022
2026-02-06T09:32:00+08:00,10.02,10.04,10.01,10.03,1200,12036
2026-02-06T09:33:00+08:00,10.03,10.05,10.02,10.04,1300,13052
2026-02-06T09:34:00+08:00,10.04,10.06,10.03,10.05,1400,14070
2026-02-06T09:35:00+08:00,10.05,10.07,10.04,10.06,1500,15090
2026-02-06T09:36:00+08:00,10.06,10.08,10.05,10.07,1600,16112
2026-02-06T09:37:00+08:00,10.07,10.09,10.06,10.08,1700,17136
2026-02-06T09:38:00+08:00,10.08,10.10,10.07,10.09,1800,18162
2026-02-06T09:39:00+08:00,10.09,10.11,10.08,10.10,1900,19190
2026-02-06T09:40:00+08:00,10.10,10.12,10.09,10.11,2000,20220
2026-02-06T09:41:00+08:00,10.11,10.13,10.10,10.12,2100,21252
2026-02-06T09:42:00+08:00,10.12,10.14,10.11,10.13,2200,22286
2026-02-06T09:43:00+08:00,10.13,10.15,10.12,10.14,2300,23322
2026-02-06T09:44:00+08:00,10.14,10.16,10.13,10.15,2400,24360
2026-02-06T09:45:00+08:00,10.15,10.17,10.14,10.16,2500,25400
2026-02-06T09:46:00+08:00,10.16,10.18,10.15,10.17,2600,26442
2026-02-06T09:47:00+08:00,10.17,10.19,10.16,10.18,2700,27486
2026-02-06T09:48:00+08:00,10.18,10.20,10.17,10.19,2800,28532
2026-02-06T09:49:00+08:00,10.19,10.21,10.18,10.20,2900,29580
